model_name,model,train_rmse,test_rmse,fit_time,test_time
base_baseline_only,baseline,0.837641,0.876241,0.050725,0.111516
base_knn_basic,knn_basic,0.697346,0.959823,0.094301,1.339809
base_knn_means,knn_means,0.673119,0.904506,0.11151,1.488612
base_knn_zscore,knn_zscore,0.668391,0.903679,0.157216,1.621699
base_knn_baseline,knn_baseline,0.655359,0.882639,0.160189,1.92627
base_svd,svd,0.639353,0.879827,2.926874,0.167982
base_svdpp,svdpp,0.675951,0.866679,302.668346,6.992896
base_nmf,nmf,0.577744,0.937035,3.727779,0.152249
base_slop,slope,0.551231,0.909538,2.661436,4.934569
base_cluster,cluster,0.812592,0.954283,1.698625,0.132729
svd_tuned_1,svd,0.569728,0.870554,7.784396,0.455209
svd_tuned_2,svd,0.644704,0.865502,6.249327,0.207198
svd_tuned_3,svd,0.603065,0.862983,7.057509,0.37629
svd_tuned_4,svd,0.521653,0.862182,6.787233,0.303089
svd_tuned_5,svd,0.521521,0.861169,6.284704,0.372672
knn_als_tuned_1,knn_baseline,0.684323,0.872226,0.39073,4.714972
knn_sgd_tuned_1,knn_baseline,0.691578,0.909773,0.749931,4.241354
knn_als_tuned_2,knn_baseline,0.701165,0.870031,0.392658,4.737912
knn_als_tuned_3,knn_baseline,0.701315,0.863918,0.667222,4.990317
knn_als_tuned_4,knn_baseline,0.701389,0.86476,0.633972,5.16285
knn_als_tuned_5,knn_baseline,0.701122,0.863791,1.595689,3.787077
svdpp_tuned_1,svdpp,0.543026,0.855228,2312.05477,18.585806
svdpp_tuned_2,svdpp,0.613652,0.853009,1801.290747,14.459661